sku,location,stock,total_orders
03-3981GY,ROW 43,160,81
03-3979GY,ROW 42,164,61
03-3980BL,ROW 34,93,49
03-3987GY,ROW 25,16,49
03-3869BL,ROW 41,62,45
03-3978BL,ROW 42,265,42
03-3983GY,ROW 43,238,40
03-3870BL,ROW 41,64,39
03-4664BR,ROW 9,38,37
03-4081BK,ROW 43,6,34
03-4666BR,ROW 12,41,31
03-3731GY,ROW 1,19,31
03-3977GY,ROW 41,49,30
03-3868BL,ROW 1,21,29
03-4667BR,ROW 3,33,28
03-4082SL,ROW 8,3,28
03-3740BK,ROW 1,47,28
03-3934MN,ROW 42,2,28
03-3926BL,ROW 42,1,27
03-3927BK,ROW 1,10,27
03-4067BL,ROW 41,85,27
06-4427RB,ROW 42,1,27
07-3664PK,ROW 17,24,26
03-4868BL,ROW 43,22,26
03-3910GY,ROW 25,1,25
03-4513GY,ROW 3,15,25
03-4069BL,ROW 6,37,25
07-3690BL,ROW 16,46,24
03-3769BLD,ROW 41,81,24
03-4068BK,ROW 43,173,24
06-4284TL,ROW 17,73,23
07-3663BL,ROW 17,19,22
03-3928BL,ROW 43,44,22
07-3689WH,ROW 16,28,21
03-3606BL,ROW 51,16,21
03-3971MN,ROW 26,2,21
03-3982BL,ROW 42,272,21
03-4623BL,ROW 34,25,21
03-3733GY,ROW 9,48,20
03-4637MN,ROW 12,22,20
06-4572GY,ROW 3,20,20
03-3871BL,ROW 25,17,20
03-3732BL,ROW 1,31,20
03-4253BK,ROW 7,1,20
03-3804BL,ROW 22,1,20
03-4866BL,ROW 42,3,20
03-4627BR,ROW 27,10,19
03-3933BK,ROW 1,65,19
03-4514GY,ROW 38,3,19
03-3805BL,ROW 26,1,18
06-4584BL,ROW 37,1,17
03-4635MN,ROW 2,26,17
03-4517BL,ROW 22,25,17
03-4040BK,ROW 7,26,17
03-3922BL,ROW 1,52,17
06-4430RB,ROW 23,1,17
03-3743GN,ROW 28,36,17
03-3794RD,ROW 28,1,17
03-4810BK,ROW 8,15,16
03-4084SL,ROW 41,50,16
03-3936MN,ROW 42,45,16
03-4083BK,ROW 1,43,16
03-3931BK,"42 BURIED, ROW 28",53,16
03-4869MN,ROW 43,32,16
03-3976BL,ROW 34,134,16
03-4268BK,ROW 25,22,16
03-4539GY,ROW 27,11,16
03-3803BL,ROW 42,1,16
03-4037BK,ROW 26,51,15
07-3672SG,ROW 16,3,15
03-4624BL,ROW 34,30,15
03-3793PD,ROW 6,7,15
03-3999PD,ROW 2,10,14
03-3751BL,ROW 9,17,14
06-4435BK,ROW 41,64,14
06-4438BK,ROW 30,17,14
03-4628BR,ROW 43,14,14
03-4537GY,ROW 29,11,14
03-4639MN,ROW 9,12,14
03-4516BL,ROW 22,7,14
