SKU,Name,Model,Size,Color,Category,S/D Category,Condition,Condition Description,Quantity,Warehouse,Location,Sublocation,Serial,UPC,MSRP,Standard Price,S/D Price,Is Bike,Weight lbs,Length in,Width in,Height in,Photo,PDF,Last Updated
01-077,"Hudson 17"" Gloss Black",Hudson,"17""",Gloss Black,,,,,1,LUDLOW,ROW 20,G,Y216014314,,,,200,true,45,55,8.5,30.5,,,2026-08-19 12:38
01-145,"Hudson St 14"" Blue Lagoon",Hudson St,"14""",Blue Lagoon,,,,,1,LUDLOW,ROW 20,G,Y22B009934,,,,200,true,45,55,8.5,30.5,,,2026-08-19 12:38
01-293,"Hudson St 14"" Sugar Grape",Hudson St,"14""",Sugar Grape,,,,,1,LUDLOW,ROW 20,G,Y21J011148,,,,200,true,45,55,8.5,30.5,,,2026-08-19 12:38
01-429,"Hudson St 14"" Vanilla Mint",Hudson St,"14""",Vanilla Mint,,,,,1,LUDLOW,ROW 20,G,Y22B009905,,,,200,true,45,55,8.5,30.5,,,2026-08-19 12:38
01-537,"Helix A2 16"" Sugar Mint",Helix A2,"16""",Sugar Mint,,,,,1,LUDLOW,ROW 20,G,G210903993,,,,,true,45,54,8,30,,,2026-08-19 12:38
E19K01F0044,2011 Xenith SL 54cm Sutter Home,2011 Xenith SL,54cm,Sutter Home,,,,,1,LUDLOW,ROW 20,G,E19K01F0044,,,,,true,45,54,8,30,,,2026-08-19 12:38
F357381,1988 Dakota 17 Gloss Red,1988 Dakota,17,Gloss Red,,,,,1,LUDLOW,ROW 20,G,F357381,,,,,true,45,54,8,30,,,2026-08-19 12:55
H6K01013,Dakar Team 17 Ano Silver,Dakar Team,17,Ano Silver,,,,,1,LUDLOW,ROW 20,G,H6K01013,,,,,true,45,54,8,30,,,2026-08-19 12:56
M12035084,2013 Aurora Elite 58 cm Red Brown,2013 Aurora Elite,58 cm,Red Brown,,,,,1,LUDLOW,ROW 20,G,M12035084,,,,,true,45,54,8,30,,,2026-08-19 12:39
No-sku,Boss Cruiser 7 18 Raspberry,Boss Cruiser 7,18,Raspberry,,,,,1,LUDLOW,ROW 20,G,Y22A000885,,,,,true,45,54,8,30,https://pub-1a61139939fa4f3ba21ee7909510985c.r2.dev/photos/No-sku.webp,,2026-08-19 12:40
U20U01256,Dragon 17 Shamrock,Dragon,17,Shamrock,,,,,1,LUDLOW,ROW 20,G,U20U01256,,,,,true,45,54,8,30,,,2026-08-19 12:39
WK5G00305,2005 Dakar XC Pro 13 Super Blue,2005 Dakar XC Pro,13,Super Blue,,,,,1,LUDLOW,ROW 20,G,WK5G00305,,,,,true,45,54,8,30,,,2026-08-19 12:39
Y21A003411,Hudson E2 18 Deep Blue,Hudson E2,18,Deep Blue,,,,,1,LUDLOW,ROW 20,G,Y21A003411,,,,,true,45,54,8,30,,,2026-08-19 12:56
Y21B008528,Hudson Disc ST 18 Sugar mint,Hudson Disc ST,18,Sugar mint,,,,,1,LUDLOW,ROW 20,G,Y21B008528,,,,,true,45,54,8,30,,,2026-08-19 12:39
Y22E007755,Boss Cruiser 7 18 Raspberry,Boss Cruiser 7,18,Raspberry ,,,,,1,LUDLOW,ROW 20,G,Y22E007755,,,,,true,45,54,8,30,,,2026-08-19 12:41
01-0286,"Hudson 19"" Sandstone",Hudson,"19""",Sandstone,hybrid,sd,new_unbuilt,"Unbuilt New - Missing Front Fork , No Scratches",1,LUDLOW,ROW 21,G,Y21K013023,,649.95,413.0,200,true,45,55,8.5,30.5,https://pub-1a61139939fa4f3ba21ee7909510985c.r2.dev/catalog/hudson-sandstone.webp,https://www.dropbox.com/scl/fi/snr4s2cpgq6loxyn9dqba/Hudson-01-0286.pdf?rlkey=nbip752evxejzw9wxb0gnr7hf&st=89k4w3to&dl=0,2026-08-19 12:41
01-0357,"Hudson 21"" Gloss Black",Hudson,"21""",Gloss Black,hybrid,sd,new_unbuilt,"Unbuilt New - Missing Front Fork , No Scratches",1,LUDLOW,ROW 21,G,Y22D005230,,659.95,429.95,200,true,45,55,8.5,30.5,,https://www.dropbox.com/scl/fi/q3wif06gg1kz8o58csyu4/Hudson-01-0357.pdf?rlkey=h4v0zc1nbfw3x5yku2jp1rrh9&st=oqstq15o&dl=0,2026-08-19 12:41
01-0422,Renegade C2 GRX 54cm Winter Dusk,Renegade C2 GRX,54cm,Winter Dusk,gravel,sd,ridden_demo,Ridden - Scratches on Cranks and Rear Derailuer hanger,1,LUDLOW,ROW 21,G,WYGC00114,,5599.95,3996.95,2937.95,true,45,55,8.5,30.5,https://pub-1a61139939fa4f3ba21ee7909510985c.r2.dev/catalog/carbon-renegade-winter-dusk.webp,https://www.dropbox.com/scl/fi/g8j7dphmrt34pux51cv3a/Renegade-C2-GRX-01-0422.pdf?rlkey=pma6lm5hdfp7zkpak9j8o7m5d&st=fo95qe44&dl=0,2026-08-19 12:41
01-2994,Renegade C1 54 Navy Pearl,Renegade C1,54,Navy Pearl,,,,,1,LUDLOW,ROW 21,F,,,,,,true,45,54,8,30,https://pub-1a61139939fa4f3ba21ee7909510985c.r2.dev/photos/01-2994.webp,,2026-07-29 17:10
No-sku,2004 56cm Eclipse carbon,Boss Cruiser 7,18,Raspberry,,,,,1,LUDLOW,ROW 21,G,Y22A000885,,,,,true,45,54,8,30,https://pub-1a61139939fa4f3ba21ee7909510985c.r2.dev/photos/No-sku.webp,,2026-08-18 11:00
WAKDG0167,,,,,,,,,1,LUDLOW,ROW 21,F,,,,,,true,45,54,8,30,,,2026-07-17 14:33
WMGC00055,SD Renegade 56 cm Charcoal,SD Renegade,56 cm,Charcoal,,,,,1,LUDLOW,ROW 21,F,WMGC00055,,,,,true,45,54,8,30,,,2026-08-18 16:45
WYFB0049,Renegade C2 61 cm Moss,Renegade C2,61 cm,Moss,,,,,1,LUDLOW,ROW 21,F,,,,,,true,45,54,8,30,,,2026-08-18 11:29
WYFC00096,,,,,,,,,1,LUDLOW,ROW 21,F,,,,,,true,45,54,8,30,,,2026-07-17 14:37
01-0340,"Earth Crusier 3 ST 17"" Sky Blue",Earth Crusier 3 ST,"17""",Sky Blue,cruiser,sd,new_unbuilt,"Unbuilt New - Missing Front Fork , Scratches on Toptube and Chainstay",1,LUDLOW,ROW 22,F,Y21I000458,,599.95,388.0,175.0,true,45,55,8.5,30.5,,https://www.dropbox.com/scl/fi/oebygjrmoiwwyzqbplmd3/EC3-01-0340.pdf?rlkey=qqi3mnsug9j0a9p3nla23skq6&st=0u9r1k17&dl=0,2026-07-17 15:13
01-0476,"Explorer A2 14"" Deep Blue",Explorer A2,"14""",Deep Blue,hybrid,sd,new_unbuilt,"Unbuilt New - Missing Front Fork, No Scratches",1,LUDLOW,ROW 22,F,Y22A019305,,589.95,388.95,195.95,true,45,55,8.5,30.5,https://pub-1a61139939fa4f3ba21ee7909510985c.r2.dev/catalog/explorer-deep-blue.webp,https://www.dropbox.com/scl/fi/lwh04xliz2rlr9tpe21ch/Explorer-A2-01-0476.pdf?rlkey=j08fwph3knuhfx2iy0qm05dvo&st=elz5nx42&dl=0,2026-07-17 15:15
01-0484,"Allegro A2 17"" Galaxy Blue",Allegro A2,"17""",Galaxy Blue,hybrid,sd,new_unbuilt,"Unbuilt New - Missing Front Fork, No Scratches",1,LUDLOW,ROW 22,F,M25C000873,,829.95,544.95,305.95,true,45,55,8.5,30.5,https://pub-1a61139939fa4f3ba21ee7909510985c.r2.dev/catalog/allegro-galaxy-blue.webp,https://www.dropbox.com/scl/fi/s57k7732pdsby3fzqzz9l/Allegro-A2-01-0484.pdf?rlkey=1b7496dbxiexgy58lwppn34lj&st=l8p5i25f&dl=0,2026-07-17 16:21
01-0487,"Allegro A2 15"" Galaxy Blue",Allegro A2,"15""",Galaxy Blue,hybrid,sd,new_unbuilt,"Unbuilt New - Missing Front Fork, No Scratches",1,LUDLOW,ROW 22,F,M25C000823,,829.95,544.95,305.95,true,45,55,8.5,30.5,https://pub-1a61139939fa4f3ba21ee7909510985c.r2.dev/catalog/allegro-galaxy-blue.webp,https://www.dropbox.com/scl/fi/z84h5u8rxf5bgt8pfke2k/Allegro-A2-01-0487.pdf?rlkey=9tqk4dq6nep1z1atn9rqm8x3j&st=7tj1b252&dl=0,2026-07-17 15:23
01-0489,"Allegro A2 17"" Galaxy Blue",Allegro A2,"17""",Galaxy Blue,hybrid,sd,new_unbuilt,"Unbuilt New - Missing Front Fork, No Scratches",1,LUDLOW,ROW 22,F,M25C000634,,829.95,544.95,305.95,true,45,55,8.5,30.5,https://pub-1a61139939fa4f3ba21ee7909510985c.r2.dev/catalog/allegro-galaxy-blue.webp,https://www.dropbox.com/scl/fi/b3jvb7gphfjz8s2hzc81k/Allegro-A2-01-0489.pdf?rlkey=7dwq9ougha0dnk84mwobjqfmu&st=49os8qmj&dl=0,2026-07-17 16:20
01-0557,"ALLEGRO A3 ST 16"" SUGAR MINT","ALLEGRO A3 ST 16"" SUGAR",,MINT,,,used,,1,LUDLOW,ROW 22,F,NA,,,,,true,45,54,8,32,,,2026-08-18 15:44
01-093,Taxi ST 17 Kiwi,Taxi ST,17,Kiwi,,,,,1,LUDLOW,ROW 22,F,Y22E004693,,,,,true,45,54,8,30,,,2026-08-18 10:36
01-100,Taxi ST 17 Kiwi,Taxi ST,17,Kiwi,,,,,1,LUDLOW,ROW 22,G,Y21G006518,,,,,true,45,54,8,30,,,2026-08-19 12:35
01-2990,Allegro a3 19 Ink,Allegro a3,19,Ink,,,,,1,LUDLOW,ROW 22,F,,,,,,true,45,54,8,30,,,2026-08-18 10:53
01-512,"Allegro A3 18"" Thunder Grey",Allegro A3,"18""",Thunder Grey,,,,,1,LUDLOW,ROW 22,F,G220509521,,,,,true,45,54,8,30,,,2026-08-18 10:57
01-515,"Allegro A2 17"" Galaxy Blue",Allegro A2,"17""",Galaxy Blue,,,,,1,LUDLOW,ROW 22,F,M25C000931,,,,,true,45,54,8,30,,,2026-08-18 10:12
01-520,"Sequel S2 19"" Mahogany",Sequel S2,"19""",Mahogany,,demo,,,1,LUDLOW,ROW 22,F,U19YU04746,,1399.95,,,true,45,54,8,30,,,2026-07-24 14:53
03-3826GY,SD RENEGADE S3 54 Monterey grey,SD RENEGADE S3,54,Monterey grey,,,,,1,LUDLOW,ROW 22,F,03-3826GY,,,,,true,45,55,8.5,30.5,,,2026-08-18 16:43
WAKDG1620,Sequel S3 19 Midnight blue,Sequel S3,19,Midnight blue,,,,,1,LUDLOW,ROW 22,F,WAKDG1620,,,,,true,45,54,8,30,,,2026-08-18 10:50
WE9H00107,Sputnik Belt Drive 56 cm Matte black,Sputnik Belt Drive,56 cm,Matte black,,,,,1,LUDLOW,ROW 22,F,WE9H00107,,,,,true,45,54,8,30,,,2026-08-18 10:39
Y21G008530,"Starlite 8"" Blue Lagoon",Starlite,"8""",Blue Lagoon,,,,,1,LUDLOW,ROW 22,F,Y21G008530,,,,,true,45,54,8,30,,,2026-08-18 10:42
Y21K017680,Trail XR ST 12 Nickel,Trail XR ST,12,Nickel,,,,,1,LUDLOW,ROW 22,F,Y21K017680,,,,,true,45,54,8,30,,,2026-08-18 10:14
Y22B006183,Citizen 2 18 Radiant blue,Citizen 2,18,Radiant blue,,,,,1,LUDLOW,ROW 22,F,Y22B006183,,,,,true,45,54,8,30,,,2026-08-18 10:51
Y22C004164,"CITIZEN 19"" GLOSS BLACK",CITIZEN,"19""",GLOSS BLACK,,,,,1,LUDLOW,ROW 22,F,Y22C004164,,,,,true,45,54,8,30,,,2026-07-17 15:41
01-0296,"Hudson 21"" Midnight Sky",Hudson,"21""",Midnight Sky,hybrid,sd,ridden_demo,"Ridden - Missing Front Fork, Scratches on Toptube, Seattube, Chainguard",1,LUDLOW,ROW 23,G,Y22A016211,,649.95,413.0,245,true,45,55,8.5,30.5,,https://www.dropbox.com/scl/fi/iy5sair636d7qrimwqzxd/Hudson-01-0296.pdf?rlkey=rw1c8f55w5126mgmcoa9vs04e&st=7leehtsm&dl=0,2026-08-19 12:37
01-0349,"Hardline C3 19"" Mash",Hardline C3,"19""",Mash,mountain,sd,new_unbuilt,Unbuilt New - Paint chip on Headtube,1,LUDLOW,ROW 23,F,WGCB00036,,3699.95,2589.95,2249.0,true,45,55,8.5,30.5,https://pub-1a61139939fa4f3ba21ee7909510985c.r2.dev/catalog/hardline-mash.webp,https://www.dropbox.com/scl/fi/6z1r5kdlck7wl1nvqfzfg/Hardline-C3-01-0349.pdf?rlkey=uom6afilmrddi4s61tmnupz6z&st=f5bxaah7&dl=0,2026-07-20 10:03
01-0368,"Taxi ST 19"" Kiwi",Taxi ST,"19""",Kiwi,cruiser,sd,ridden_demo,"Ridden - Missing Seatpost, Stem, Grips and handlebars",1,LUDLOW,ROW 23,F,Y21G006259,,579.95,371.0,230.0,true,45,55,8.5,30.5,,https://www.dropbox.com/scl/fi/1wmyxtwhwo6ogoi4lhu6u/Taxi-01-0368.pdf?rlkey=qbvlsk4h7u7jgav6pb1o6gmwo&st=bn29rx1e&dl=0,2026-07-20 10:08
