pickd_name,matched_by,orders,fsm_candidates,fsm_recipient_ids_and_addresses
WHEELIES LLC,name,24,6,"1190300 (171 S MULBERRY STREET, WILMINGTON OH 45177) | WHEELIES INC (176 ROUTE 70, MEDFORD NJ 08055) | WHEELIES 171 (171 S MULBERRY STREET, WILMINGTON OH 45177) | 1190100 (176 ROUTE 70 SUITE 1, MEDFORD NJ 08055) | WHEELIES LLC (176 ROUTE 70, MEDFORD NJ 08055) | WHEELIES (176 ROUTE 70, MEDFORD NJ 08055)"
SPORTS ADDICTION,name,19,2,"SPORTSADDICTIO (70 PENNINGTON DRIVE, BLUFFTON SC 29910) | 940500 (200 OKATIE VILLAGE SUITE 101, BLUFFTON SC 29909)"
PERKIOMEN BICYCLES LLC,name,16,4,"PERKIOMEN  (160 MAIN STREET, SCHWENKSVILLE PA 19473) | PERKIOMEN BICYCLES LLC (160 MAIN STREET, SCHWENKSVILLE PA 19473) | PERKIOMEN (160 MAIN STREET, SCHWENKSVILLE PA 19473) | 1171900 (160 MAIN STREET, SCHWENKSVILLE PA 19473)"
TUCKER CYCLES,name,14,3,"1049500 (3544 ST JOHNS AVE, JACKSONVILLE FL 32205) | TUCKER CYCLES (3544 ST JOHNS AVENUE, JACKSONVILLE FL 32205) | TUCKER CYCKES (3544 ST JOHNS AVE, JACKSONVILLE FL 32205)"
"TWO WHEELER DEALER,INC",name,14,5,"TWO WHEELER DEALER (4408 WRIGHTSVILLE AVENUE, WILMINGTON NC 28403) | 1071000 (4408 WRIGHTSVILLE AVENUE, WILMINGTON NC 28403) | TWO WHEELER NC (4408 WRIGHTSVILLE AVENUE, WILMINGTON NC 28403) | TWO WHEELER DEALER INC (4408 WRIGHTSVILLE AVENUE, WILMINGTON NC 28403) | TWO WHEELER SD (3315 SOUTH SPRING AVENUE, SIOUX FALLS SD 57105)"
PEDAL PUSHERS INC,name,14,4,"837800 (546 BALTIMORE ANNAPOLIS BLVD, SEVERNA PARK MD 21146) | PEDAL PUSHERS INC (546 BALTIMORE ANNAPOLIS BLVD, SEVERNA PARK MD 21146) | PEDAL PUSHERS (546 BALTIMORE ANNAPOLIS BLVD, SEVERNA PARK MD 21146) | PEDAL (546 Baltimore AND Annapolis RD, Severna Park MD 21146)"
WERSELLS BIKE SHOP,name,13,3,"1109600 (2860 WEST CENTRAL AVENUE, TOLEDO OH 43606) | WERSELLS BIKE SHOP (2860 WEST CENTRAL AVENUE, TOLEDO OH 43606) | WERSELLS (2860 WEST CENTRAL AVENUE, TOLEDO OH 43606)"
BIKENETIC,name,12,3,"BIKNETIC (201 WEST JEFFERSON STREET, FALLS CHURCH VA 22046) | 680900 (201 WEST JEFFERSON STREET, FALLS CHURCH VA 22046) | BIKENETIC (201 WEST JEFFERSON STREET, FALLS CHURCH VA 22046)"
DIXON BICYCLES SHOP INC,name,12,2,"DIXON BICYCLES (792 UNION STREET, BROOKLYN NY 11215) | DIXON BICYCLES SHOP INC (792 UNION STREET, BROOKLYN NY 11215)"
BIKE PLANT,name,11,2,"133500 (175 TOMPKINS AVENUE, BROOKLYN NY 11206) | BIKE PLANT (175 TOMPKINS AVENUE, BROOKLYN NY 11206)"
ENDLESS TRAIL BIKEWORX,name,11,5,"444 (56 Main Street, Dobbs Ferry NY 10522) | ENDLESS TRAIL BIKEWORX (62 MAIN STREET, DOBBS FERRY NY 10522) | ENDLESS (56 MAIN STREET, DOBBS FERRY NY 10522) | 444500 (62 MAIN STREET, DOBBS FERRY NY 10522) | 4445 (56 MAIN STREET, DOBBS FERRY NY 10522)"
THE BIKE STAND INC,name,11,3,"94500 (1757 EAST 2ND STREET, SCOTCH PLAINS NJ 07076) | THE BIKE STAND INC (1757 EAST 2ND STREET, SCOTCH PLAINS NJ 07076) | THE BIKE STAND (1757 EAST 2ND STREET, SCOTCH PLAINS NJ 07076)"
CHARLESTON BICYCLE COMPANY,name,11,4,"CHARLESTON 1319 (1319A SAVANNAH HIGHWAY, CHARLESTON SC 29407) | CHARLESTON BICYCLE COMPAN (1319A SAVANNAH HWY, CHARLESTON SC 29407) | CHARLESTON BICYCLE (1319A  SAVANNAH HIGHWAY, CHARLESTON SC 29407) | 227900 (1319A SAVANNAH HIGHWAY, CHARLESTON SC 29407)"
"MATTHEWS BICYCLE MART, INC",name,9,3,"709900 (7272 PENDLETON PIKE, INDIANAPOLIS IN 46226) | MATTHEWS BICYCLE MART  (7272 PENDLETON PIKE, INDIANAPOLIS IN 46226) | MATTHEWS BICYCLE (7272 PENDLETON PIKE, INDIANAPOLIS IN 46226)"
KOZY'S CYCLERY,name,9,9,"KOZY CHICAGO (219 WEST ERIE, CHICAGO IL 60654) | 757502 (219 WEST ERIE, CHICAGO IL 60654) | KOZY'S 2540 (2540 S. WABASH AVENUE, CHICAGO IL 60616) | KOZY'S CYCLERY (811 S.DESPLAINS, CHICAGO IL 60607) | KOZY'S 3255 (3255 N. MILWAUKEE AVE, CHICAGO IL 60618) | CHRIS BALLACK (811 S. Desplains, Chicago IL 60607)"
MOTORLESS MOTION INC,name,9,5,"MOTORLESS MOTION (121 SO. MAIN STREET, MOUNT PLEASANT MI 48858) | MOTORLESS  (121 SO. MAIN STREET, MOUNT PLEASANT MI 48858) | 730400 (121 SOUTH MAIN STREET, MT PLEASANT MI 48858) | MOTORLESS MOTIO INC. (121 SO. MAIN STREET, MOUNT PLEASANT MI 48858) | MOTORLESS MOTION INC (121 SO. MAIN STREET, MOUNT PLEASANT MI 48858)"
THE CAFFEINATED CYCLIST,name,9,2,"533200 (103 WEST JERSEY AVENUE, PITMAN NJ 08071) | THE CAFFEINATED CYCLIST (103 WEST JERSEY AVENUE, PITMAN NJ 08071)"
HORNING'S BIKE SHOP,name,8,3,"HORNING'S BIKE SHOP (941 MARTINDALE ROAD, EPHRATA PA 17522) | 541500 (941 MARTINDALE ROAD, EPHRATA PA 17522) | HORNING (941 MARTINDALE ROAD, EPHRATA PA 17522)"
JUST RIDING ALONG BICYCLE,name,8,2,"1126900 (6828 OLNEY-LAYTONSVILLE ROAD, LAYTONSVILLE MD 20882) | JUST RIDING ALONG BICYCLE (6828 OLNEY-LAYTONSVILLE ROAD, LAYTONSVILLE MD 20882)"
LOWCOUNTRY BICYCLES,name,8,2,"264100 (102 SEA ISLAND PKWY  STE 1, BEAUFORT SC 29907) | LOWCOUNTRY BICYCLES INC (102 SEA ISLAND PKWY, BEAUFORT SC 29907)"
BORDER BICYCLE,name,8,3,"299500 (1861 JOE BATTLE BLVD, EL PASO TX 79936) | BORDER BICYCLE (4650 WOODROW BEAN TRANSMTN DR., EL PASO TX 79924) | BORDER BICYCLES (1861 JOE BATTLE BLVD STE 3-4, EL PASO TX 79936)"
MAIN STREET BICYCLE CO.,name,8,3,"MAIN STREET (201 E MAIN STREET, ZEELAND MI 49464) | MAIN STREET BIC (5340 Plaza Drive, HUDSONVILLE MI 49426) | 950600 (201 E. MAIN STREET, ZEELAND MI 49464)"
BELMAR BIKE SHOP LLC,name,8,2,"2828 (1318 MAIN STREET, BELMAR NJ 07719) | BELMAR BIKE SHOP LLC (1318 MAIN STREET, BELMAR NJ 07719)"
FLAGLER BIKE N' COFFEE SHOP,name,8,3,"FLAGLER BIKE N' COFFEE SH (109 FLAGLER PLAZA DR, PALM COAST FL 32137) | 524200 (109 FLAGLER PLAZA DR, PALM COAST FL 32137) | FLAGLER (109 FLAGLER PLAZA DR, PALM COAST FL 32137)"
CLINTON BICYCLE SHOP LLC,name,8,4,"CLINTON BICYCLE SHOP (51 MAIN STREET, CLINTON NJ 08809) | 202500 (51 MAIN STREET, CLINTON NJ 08809) | CLINTON BIKE SHOP (51 MAIN STREET, CLINTON NJ 08809) | CLINTON BICYCLE SHOP LLC (51 MAIN STREET, CLINTON NJ 08809)"
FAIRVIEW CYCLE INC,name,8,4,"450900 (22230 LORAINE RD, FAIRVIEW PARK OH 44126) | FAIRVIEW (22230 LORAINE ROAD, FAIRVIEW PARK OH 44126) | IEW CYCLE (22230 LORAINE ROAD, FAIRVIEW PARK OH 44126) | FAIRVIEW CYCLE INC (22230 LORAINE RD, FAIRVIEW PARK OH 44126)"
BIKETEK LLC,name,8,6,"BIKETEK LLC (5842 FORBES AVENUE, PITTSBURGH PA 15217) | BIKETEK INC (957 CLOCK TOWER DRIVE, SPRINGFIELD IL 62704) | 864900 (5842 FORBES AVE, PITTSBURGH PA 15217) | 870800 (957 CLOCK TOWER DRIVE, SPRINGFIELD IL 62704) | 8708 (957 CLOCK TOWER DRIVE, SPRINGFIELD IL 62704) | BIKETEK (5842 FORBES AVENUE, PITTSBURGH PA 15217)"
BALTIMORE BICYCLE WORKS,name,8,5,"932100 (1813 FALLS ROAD, BALTIMORE MD 21201) | BALTIMORE (1813 FALLS ROAD, BALTIMORE MD 21201) | 932101 (518 E. BELVEDERE AVENUE, BALTIMORE MD 21212) | BALTIMORE 1813 (1813 FALLS ROAD, BALTIMORE MD 21201) | BALTIMORE BICYCLE WORKS (518 E BELVEDERE AVENUE, BALTIMORE MD 21212)"
DELUXX BICYCLES,name,8,3,"DELUXX BICYCLES  (720 CUMBERLAND STREET, LEBANON PA 17042) | DELUXX (720 CUMBERLAND STREET, LEBANON PA 17042) | 1049300 (720 CUMBERLAND STREET 1ST FL, LEBANON PA 17042)"
REAL BICYCLES,name,7,6,"752000 (581 US HWY 41 BYPASS, VENICE FL 34285) | 752001 (445 SOUTH INDIANA AVE, ENGLEWOOD FL 34223) | REAL  (445 S. INDIANA AVENUE, ENGLEWOOD FL 34223) | REAL BICYCLES (445 S. INDIANA AVENUE, ENGLEWOOD FL 34223) | REAL 581 (581 US HWY 41 BYPASS, VENICE FL 34285) | REAL BICYCLES 445 (445 S. INDIANA AVENUE, ENGLEWOOD FL 34223)"
MIAMI BEACH BICYCLE CENTER INC,name,7,2,"867200 (746-5TH STREET, MIAMI BEACH FL 33139) | MIAMI BEACH BICYCLE CENTE (746-5TH STREET, MIAMI BEACH FL 33139)"
CYCLE DYNAMICS,name,7,4,"000277700 (971 POST ROAD EAST, WESTPORT CT 06880) | CYCLE D (10225 TELEPHONE RD A1, VENTURA CA 93006) | 277700 (971 POST ROAD EAST, WESTPORT CT 06880) | CYCLE DYNAMICS (971 POST ROAD EAST, WESTPORT CT 06880)"
DG CYCLE SPORTS,name,7,3,"408000 (44 NASHUA ROAD - UNIT 20B, LONDONDERRY NH 03053) | 408001 (75 RAILROAD AVE, EPPING NH 03042) | DG CYCLE SPORTS (75 RAILROAD AVE, EPPING NH 03042)"
BRIELLE CYCLERY INC,name,7,2,"BRIELLE CYCLERY (205 UNION AVENUE, BRIELLE NJ 08730) | 205300 (205 UNION AVENUE, BRIELLE NJ 08730)"
PEDAL PUSHER,name,7,6,"PEDAL PUSHER PA (3798 WALNUT STREET, HARRISBURG PA 17109) | 838000 (3798 WALNUT STREET, HARRISBURG PA 17109) | PEDAL 3798 (3798 WALNUT STREET, HARRISBURG PA 17109) | PEDAL PUSHERS-PA (3798 WALNUT STREET, HARRISBURG PA 17109) | PEDAL PUSHER 3798 (3798 WALNUT STREET, HARRISBURG PA 17109) | PEDAL PUSHER (3798 WALNUT STREET, HARRISBURG PA 17109)"
BLACK SADDLE BIKE SHOP,name,7,2,"749400 (601 N. SHERMAN AVE STE F, MADISON WI 53704) | BLACK SADDLE BIKE SHOP (601 N SHERMAN AVE., MADISON WI 53704)"
